t_ms,elapsed_brew_ms,pressure_bar,flow_ml_s,volume_ml,shot_time_s,progress_pct,brew_temp_c,steam_temp_c,raw_regs,event_hex
260,,0.0,0.0,0,0,5,95.4,126.3,"0,5,0,0,1263,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da | ff 55 ff ff 9a 00 01 01 ef | ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da | ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
598,,0.0,0.0,1,0,8,95.4,126.3,"0,8,0,0,1263,954,0,1,0,0,0,0,0,0,0,0,0,0,0,0",
898,0,1.2,0.0,1,0,11,95.4,126.3,"0,11,0,0,1263,954,12,1,0,0,0,0,0,0,0,0,0,0,0,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
1273,374,1.2,0.0,3,1,15,95.4,126.3,"0,15,0,0,1263,954,12,3,0,0,0,0,0,1,0,0,0,0,0,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
1572,674,1.2,0.0,5,1,18,95.6,126.3,"0,18,0,0,1263,956,12,5,0,0,0,0,0,1,0,0,0,0,0,0",
1873,975,6.1,0.3,6,2,21,95.4,126.3,"0,21,0,0,1263,954,61,6,0,0,0,0,0,2,0,0,0,0,3,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
2172,1274,6.1,0.3,7,2,24,95.4,126.3,"0,24,0,0,1263,954,61,7,0,0,0,0,0,2,0,0,0,0,3,0",
2435,1537,6.1,0.3,8,2,27,95.4,126.0,"0,27,0,0,1260,954,61,8,0,0,0,0,0,2,0,0,0,0,3,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
2697,1799,6.2,0.3,9,3,29,95.4,126.0,"0,29,0,0,1260,954,62,9,0,0,0,0,0,3,0,0,0,0,3,0",ff 55 02 59 20 00 0c 00 4c 00 03 00 11 02 58 00 0b 02 37 da
2997,2099,6.2,0.4,10,3,32,95.4,126.3,"0,32,0,0,1263,954,62,10,0,0,0,0,0,3,0,0,0,0,4,0",
